Tipo_de_Educacion,Turno,Comparte,Categoria,PNOfrece2,UNOfrece,Tiene comedor,Tiene copa de leche,Tiene equipo multidisciplinario,Profesores especiales,Con clases especiales,Horario,Tiene maestro de apoyo,Tiene maestro de apoyo Ceibal,Tiene maestro comunitario,Maestro mAs maestro,Maestro de trayectorias protegida,RUEE,rule1,Nombre
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101002,2010001,REPUBLICA ARGENTINA
ESCUELAS COMUNES,VESPERTINO,SÍ,DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101003,2010002,FRANCIA
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101004,2010003,ARTIGAS
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101005,2010004,JOSE PEDRO VARELA
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101006,2010005,ESTADOS UNIDOS DE AMERICA
ESCUELAS COMUNES,MATUTINO,SÍ,APRENDER,4 AÑOS,6,,,,,,,,,,,,1101007,2010006,ROSA MARINO
ESCUELAS COMUNES,DOBLE TURNO,NO,APRENDER,3 AÑOS,6,,,,,,,,,,,,1101008,2010007,REPUBLICA DE HAITI
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,1,6,,,,,,,,,,,,1101009,2010008,DR.AURELIANO RODRIGUEZ LARRETA
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101010,2010009,RPCA. DE EL SALVADOR
ESCUELAS COMUNES,EXTENDIDO,NO,T.EXTENDIDO-DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101011,2010010,ABRAHAM LINCOLN
ESCUELAS COMUNES,MATUTINO,SÍ,DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101013,2010011,JOAQUIN MESTRE
ESCUELAS COMUNES,MATUTINO,SÍ,DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101014,2010012,JOSE DE SAN MARTIN
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101016,2010014,SUECIA
ESCUELAS COMUNES,EXTENDIDO,NO,T.EXTENDIDO-DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101017,2010015,BRASIL
ESCUELAS COMUNES,MATUTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101019,2010016,GRUPO ESCOLAR F. SANGUINETTI
ESCUELAS COMUNES,TIEMPO COMPLETO,SÍ,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101020,2010017,GRUPO ESCOLAR FELIPE SANGUINETTI
ESCUELAS COMUNES,EXTENDIDO,NO,T.EXTENDIDO-DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101021,2010018,ALEMANIA
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101023,2010019,TOMAS CLARAMUNT
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101024,2010020,JOAQUIN SUAREZ
ESCUELAS COMUNES,VESPERTINO,SÍ,DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101025,2010021,RUY BARBOSA
ESCUELAS COMUNES,MATUTINO,SÍ,DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101026,2010021,PAISES BAJOS
ESCUELAS COMUNES,VESPERTINO,SÍ,DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101027,2010012,DR. EDUARDO ACEVEDO
ESCUELAS COMUNES,VESPERTINO,SÍ,DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101028,2010022,REPUBLICA DE PANAMÁ
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101029,2010023,CHECOSLOVAQUIA
ESCUELAS COMUNES,MATUTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101030,2010023,ANTONIO DIONISIO LUSSICH
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,1,6,,,,,,,,,,,,1101031,2010024,GRUPO ESCOLAR JACOBO VARELA
ESCUELAS COMUNES,MATUTINO,SÍ,DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101032,2010025,SIMON BOLIVAR
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101033,2010026,REPÚBLICA DE COLOMBIA
ESCUELAS COMUNES,MATUTINO,SÍ,ESCUELAS COMUNES,1,6,,,,,,,,,,,,1101034,2010027,CONGRESO DE ABRIL DE 1813
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101035,2010028,REPUBLICA DE GUATEMALA
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,3 AÑOS,6,,,,,,,,,,,,1101036,2010029,BÉLGICA
ESCUELAS COMUNES,VESPERTINO,SÍ,APRENDER,4 AÑOS,6,,,,,,,,,,,,1101037,2010006,BRIGADIER GENERAL MANUEL ORIBE
ESCUELAS COMUNES,MATUTINO,SÍ,APRENDER,4 AÑOS,6,,,,,,,,,,,,1101038,2010030,HORACIO DURA
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101039,2010031,GRECIA
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101040,2010032,MEXICO
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,3 AÑOS,6,,,,,,,,,,,,1101041,2010033,REPUBLICA DE ECUADOR
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101042,2010034,REPUBLICA DE BOLIVIA
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101044,2010035,PRESBITERO JOSE BENITO LAMAS
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101045,2010036,LEONOR HOURTICOU
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,1,6,,,,,,,,,,,,1101047,2010037,WASHINGTON BELTRÁN - ROMILDO RISSO
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101048,2010011,AUSTRIA
ESCUELAS COMUNES,DOBLE TURNO,SÍ,ESCUELAS COMUNES,1,6,,,,,,,,,,,,1101049,2010038,REPUBLICA DE NICARAGUA
ESCUELAS COMUNES,VESPERTINO,SÍ,APRENDER,1,6,,,,,,,,,,,,1101050,2010039,JUAN MANUEL BLANES
ESCUELAS COMUNES,MATUTINO,SÍ,ESCUELAS COMUNES,1,6,,,,,,,,,,,,1101051,2010040,REPUBLICA DEL PARAGUAY
ESCUELAS COMUNES,DOBLE TURNO,NO,DE PRÁCTICA,5 AÑOS,6,,,,,,,,,,,,1101052,2010041,REPUBLICA DOMINICANA
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,5 AÑOS,6,,,,,,,,,,,,1101053,2010042,GRAN BRETAÑA
ESCUELAS COMUNES,VESPERTINO,SÍ,APRENDER,1,6,,,,,,,,,,,,1101054,2010043,DR. CLAUDIO WILLIMAN
ESCUELAS COMUNES,VESPERTINO,SÍ,APRENDER,4 AÑOS,6,,,,,,,,,,,,1101055,2010044,
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1101056,2010045,PEDRO A. MACCIO
ESCUELAS COMUNES,MATUTINO,SÍ,HABILITADA DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1101057,2010046,JUAN MANUEL DE VEDIA
ESCUELAS COMUNES,MATUTINO,SÍ,APRENDER,4 AÑOS,6,,,,,,,,,,,,1101058,2010047,REPÚBLICA DE SUDÁFRICA
ESCUELAS COMUNES,VESPERTINO,SÍ,APRENDER,1,6,,,,,,,,,,,,1101059,2010048,
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101060,2010049,GRUPO ESCOLAR JOSE H. FIGUEIRA
