Ruee_Calculado,Rule_Calculado,GRADO_ANNO,BACHIILER_DIVNOMBRE,HORARIO,PLAN,MODALIDAD,NOMBRELIC,DescPlan,RUEE_RAD
1201001,3010273,4,,NOCTURNO,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,MONTEVIDEO Nº 1,https://www.ces.edu.uy/index.php/plan-1994,
1201001,3010273,5,HUMANÍSTICO,NOCTURNO,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,MONTEVIDEO Nº 1,https://www.ces.edu.uy/index.php/plan-1994,
1201001,3010273,5,BIOLÓGICO,NOCTURNO,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,MONTEVIDEO Nº 1,https://www.ces.edu.uy/index.php/plan-1994,
1201001,3010273,6,DERECHO,NOCTURNO,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,MONTEVIDEO Nº 1,https://www.ces.edu.uy/index.php/plan-1994,
1201001,3010273,6,MEDICINA,NOCTURNO,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,MONTEVIDEO Nº 1,https://www.ces.edu.uy/index.php/plan-1994,
1201001,3010273,4,,DIURNO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,MONTEVIDEO Nº 1,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1201001,3010273,4,,DIURNO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,MONTEVIDEO Nº 1,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1201001,3010273,7,,DIURNO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,MONTEVIDEO Nº 1,https://www.ces.edu.uy/index.php/estudiantes/26591-planes-para-ciclo-basico,
1201001,3010273,7,,DIURNO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,MONTEVIDEO Nº 1,https://www.ces.edu.uy/index.php/estudiantes/26591-planes-para-ciclo-basico,
1201001,3010273,8,,DIURNO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,MONTEVIDEO Nº 1,https://www.ces.edu.uy/index.php/estudiantes/26591-planes-para-ciclo-basico,
