MODALIDAD,TITULACION,TIPO_FORMACION,CARRERA_ESPECIALIDAD,TURNO,PLAN,DescTForm,Desc Carre,Mail,Enlace,RUEE,Nro_Establecimiento
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,INTERMEDIO/VESPERTINO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,MATUTINO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,NOCTURNO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,INTERMEDIO/VESPERTINO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,MATUTINO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,NOCTURNO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,INTERMEDIO/VESPERTINO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,MATUTINO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,NOCTURNO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan-2023,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2023,https://www.cfe.edu.uy/index.php/plan-2023,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan-2023,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan-vigente,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,MATUTINO,2023,https://www.cfe.edu.uy/index.php/plan-vigente,,,,,1401579
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan-vigente,,,,,1401579
PRESENCIAL,,07 - CERTIFICACIÓN,CERTIFICACIÓN DE INGLÉS,ÚNICO,2019 - REF. 2021,https://www.cfe.edu.uy/index.php/carreras/planes-y-programas2/certificacion-en-lenguas-extranjeras,,,,,1401579
PRESENCIAL,,07 - CERTIFICACIÓN,CERTIFICACIÓN DE INGLÉS,INTERMEDIO/VESPERTINO,2019 - REF. 2021,https://www.cfe.edu.uy/index.php/carreras/planes-y-programas2/certificacion-en-lenguas-extranjeras,,,,,1401579
PRESENCIAL,,02 - PROFESORADO,INFORMÁTICA,INTERIOR,2008,https://inet.cfe.edu.uy/index.php/69-unidades-curriculares-y-de-trayectos-curriculares-plan-2017,,,,,1401580
PRESENCIAL,,02 - PROFESORADO,INFORMÁTICA,MATUTINO,2008,https://inet.cfe.edu.uy/index.php/69-unidades-curriculares-y-de-trayectos-curriculares-plan-2017,,,,,1401580
PRESENCIAL,,02 - PROFESORADO,INFORMÁTICA,NOCTURNO,2008,https://inet.cfe.edu.uy/index.php/69-unidades-curriculares-y-de-trayectos-curriculares-plan-2017,,,,,1401580
PRESENCIAL,,02 - PROFESORADO,INFORMÁTICA,INTERIOR,2008,https://inet.cfe.edu.uy/index.php/69-unidades-curriculares-y-de-trayectos-curriculares-plan-2017,,,,,1401580
PRESENCIAL,,02 - PROFESORADO,INFORMÁTICA,MATUTINO,2008,https://inet.cfe.edu.uy/index.php/69-unidades-curriculares-y-de-trayectos-curriculares-plan-2017,,,,,1401580
PRESENCIAL,,02 - PROFESORADO,INFORMÁTICA,NOCTURNO,2008,https://inet.cfe.edu.uy/index.php/69-unidades-curriculares-y-de-trayectos-curriculares-plan-2017,,,,,1401580
