CARRERA,DURACIÓN,CRÉDITOS MÍNIMOS,PLAN DE ESTUDIOS VIGENTE,SERVICIO UNIVERSITARIO,SERVICIO UNIVERSITARIO DE REFERENCIA,ENLACE A INFORMACIÓN INSTITUCIONAL,Nivel,Titulación,Orden original
INGENIERO AGRÓNOMO,5 AÑOS,450,2020,MONTEVIDEO_FACULTAD DE AGRONOMÍA,,https://portal.fagro.edu.uy/ensenanza/unidad-de-ensenanza/ingenieria-agronomica/,Grado,Ingeniero/a,1
ARQUITECTURA,5 AÑOS,450,2015,MONTEVIDEO_FACULTAD DE ARQUITECTURA,,http://www.fadu.edu.uy/arquitectura/,Grado,Arquitecto/a,2
LICENCIATURA EN DISEÑO DE COMUNICACION VISUAL,4 AÑOS,363,2007,MONTEVIDEO_FACULTAD DE ARQUITECTURA,,http://www.fadu.edu.uy/ldcv/,Grado,Licenciado/a,3
LICENCIATURA EN DISEÑO INDUSTRIAL,4 AÑOS,360,2013,MONTEVIDEO_FACULTAD DE ARQUITECTURA,,http://www.fadu.edu.uy/ingreso/diseno-industrial/,Grado,Licenciado/a,4
LICENCIATURA EN ASTRONOMIA,4 AÑOS,360,2016,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a,5
LICENCIATURA EN BIOQUIMICA,4 AÑOS,360,2017,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a,6
LICENCIATURA EN BIOTECNOLOGÍA,4 AÑOS,360,2024,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a,7
LICENCIATURA EN CIENCIAS BIOLÓGICAS,4 AÑOS,360,2017,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a,8
LICENCIATURA EN CIENCIAS DE LA ATMÓSFERA,4 AÑOS,360,2007,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a,9
LICENCIATURA EN FÍSICA,4 AÑOS,360,2019,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a,10
