X,Y,Ruee,,Descripcion_Escuela,Deptotext,Departamento,Localidad,Paraje,Calle,NroPuerta,Telefono,Rule,Mail
-55.9801915358607,-34.8202343719413,1303201,CETP,ESCUELA TECNICA SOLYMAR,,CANELONES,CIUDAD DE LA COSTA,SOLYMAR,CALLE F Y 34 KM.RUTA INTERBALNEARIA  KM 24200,S/N,2696 2121 - 2696 2106,,
-56.0173045657936,-34.8200528731391,1303221,CETP,ESCUELA TECNICA COLONIA NICOLICH,,CANELONES,COLONIA NICOLICH,COLONIA NICOLICH,"CALLE CLUB SANTA TERESITA . CONTINUACION ELEONOPOLIS. RUTA 102, KM. 23",S/N,2683 61 27,,
-56.2491402285765,-34.7133230490856,1303244,CETP,ESCUELA SUPERIOR VITIVINICULTURA EL COLORADO,,CANELONES,LAS PIEDRAS,EL COLORADO,RUTA 48 KM. 18,S/N,2364 5628,,
-56.0931033272259,-34.750955324124,1303341,CETP,ESCUELA TECNICA TOLEDO,,CANELONES,TOLEDO,TOLEDO,VIVERO ALEJANDRO GALLINAL-SILVESTRE GULLEN,S/N,2296 4753 - 2296 6103,,
-56.2149599073149,-34.7271299071139,1303441,CETP,ESCUELA TECNICA LAS PIEDRAS 2,,CANELONES,LAS PIEDRAS,LAS PIEDRAS,AVDA JOSE GERVACIO ARTIGAS  Y LEANDRO GOMEZ,573,2365 2969,,
-56.21863600683,-34.7299489826287,1303461,CETP,ESCUELA TECNICA SUPERIOR LAS PIEDRAS,,CANELONES,LAS PIEDRAS,LAS PIEDRAS,BALTASAR BRUM ESQ PILAR CABRERA,665,2364 9849 - 2365 9801,,
-56.214122509856,-34.7348254877281,1303462,CETP,INSTITUTO DE ALTA ESPECIALIZACION - LAS PIEDRAS,,CANELONES,LAS PIEDRAS,LAS PIEDRAS,COLONIA Y LEYENDA PATRIA,,,,
-56.2327837353821,-34.7603468477174,1303481,CETP,ESCUELA TECNICA LA PAZ,,CANELONES,LA PAZ,LA PAZ,JAVIER DE LA VIANA ESQ TIZCORNIA,575,2362 1931,,
-55.5636343034809,-34.4949360568048,1303523,CETP,ESCUELA AGRARIA MONTES,,CANELONES,MONTES,MONTES,AVDA CENTENARIO ESQ. CALLE 1 PREDIO RODESUR,S/N,4317 5011,,
-55.9623927385152,-34.7187929597401,1303601,CETP,ESCUELA TECNICA PANDO,,CANELONES,PANDO,PANDO,DR. CESAR PIOVENE,921,2292 2416 - 2292 4126,,
-56.0435337942764,-34.8523813300238,1303651,CETP,ESCUELA TECNICA PASO CARRASCO,,CANELONES,PASO CARRASCO,PASO CARRASCO,JOSE PEDRO VARELA ESQ CAMINO CARRASCO,S/N,2601 1830 - 2601 4028,,
-56.0801901342798,-34.4502291059,1303721,CETP,ESCUELA TECNICA SAN ANTONIO,,CANELONES,SAN ANTONIO,SAN ANTONIO,JUAN B. DURANTE ESQ ROGELIO MARTINEZ,S/N,43139677 - 4313 9681,,
-55.9580536212819,-34.296351932044,1303781,CETP,ESCUELA TECNICA SAN RAMON,,CANELONES,SAN RAMON,SAN RAMON,AVDA. J. BATLLE Y ORDOÑEZ,1698,4312 2409 - 4312 3593 - 4312 2409,,
-55.9593323419099,-34.3045601003208,1303803,CETP,ESCUELA AGRARIA SAN RAMON,,CANELONES,SAN RAMON,SAN RAMON,RUTA 6 KM.77,S/N,4312 2370 - 4312 2302,,
-56.3912700399952,-34.4486657459105,1303821,CETP,ESCUELA TECNICA SANTA LUCIA,,CANELONES,SANTA LUCIA,SANTA LUCIA,PECOCHE ESQ ELENA LENZUE,S/N,4334 5915 - 4334 8541 - 4334 6348,,
-55.85114095867,-34.7662709501062,1303850,CETP,C.E.A. ESCUELA Nº 262 SALINAS,,CANELONES,SALINAS,SALINAS,CALLES COLON Y ACHIRAS,S/N,,,
-56.0628842296691,-34.6434547742016,1303851,CETP,ESCUELA TECNICA SAUCE,,CANELONES,SAUCE,SAUCE,FRANCISCA PASCUAL DE ARTIGAS,S/N,2294 1208 - 2294 0130,,
-55.9860905614889,-34.7456567744428,1303911,CETP,ESCUELA TECNICA BARROS BLANCOS,,CANELONES,BARROS BLANCOS,BARROS BLANCOS,RUTA 8 KM.29 - GRAL. ARTIGAS ESQ. DIONISIO DIAZ,S/N,2288 8933 - 22880842,,
