MODALIDAD,TITULACION,TIPO_FORMACION,CARRERA_ESPECIALIDAD,TURNO,PLAN,DescTForm,DescCarre,Mail,Enlace,Nro_Establecimiento
PRESENCIAL,,Magisterio,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
PRESENCIAL,,Magisterio,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
PRESENCIAL,,Magisterio,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
PRESENCIAL,,Magisterio,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2023,https://www.cfe.edu.uy/index.php/plan-2023,,,,1417566
PRESENCIAL,,Magisterio,MAESTRO DE EDUCACIÓN PRIMARIA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan-2023,,,,1417566
PRESENCIAL,,Magisterio,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan-2023,,,,1417566
PRESENCIAL,,Magisterio,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2023,https://www.cfe.edu.uy/index.php/plan-2023,,,,1417566
PRESENCIAL,,Magisterio,MAESTRO DE PRIMERA INFANCIA,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan-vigente,,,,1417566
PRESENCIAL,,Magisterio,MAESTRO DE PRIMERA INFANCIA,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan-vigente,,,,1417566
SEMIPRESENCIAL CENTRO,,Profesorado,ASTRONOMÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
SEMIPRESENCIAL CENTRO,,Profesorado,ASTRONOMÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
SEMIPRESENCIAL,,Profesorado,ASTRONOMÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
SEMIPRESENCIAL,,Profesorado,ASTRONOMÍA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
SEMIPRESENCIAL CENTRO,,Profesorado,CIENCIAS BIOLÓGICAS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
SEMIPRESENCIAL CENTRO,,Profesorado,CIENCIAS BIOLÓGICAS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
SEMIPRESENCIAL,,Profesorado,CIENCIAS BIOLÓGICAS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
SEMIPRESENCIAL,,Profesorado,CIENCIAS BIOLÓGICAS,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
SEMIPRESENCIAL CENTRO,,Profesorado,CIENCIAS GEOGRÁFICAS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,1417566
