X,Y,Nro_Establecimiento,subsis,NOMBRE,depto,Departamento,Localidad,Paraje,Calle,NroPuerta,Telefono,Mail,Enlace
-58.0344643762064,-33.2490933204694,1417566,CETP,IFD DE MERCEDES "MAESTRO MARIO A. LÓPEZ THODE",,SORIANO,MERCEDES,MERCEDES,CASTRO Y CARCAGA ,513,4532 4774,,https://ifdmercedes.cfe.edu.uy/
-56.1893052804949,-34.8932969575067,1401584,CETP,PROFESORADO SEMIPRESENCIAL,,MONTEVIDEO,MONTEVIDEO,MONTEVIDEO,ACUÑA DE FIGUEROA Y VENEZUELA,S/N,29249147,,https://www.profesoradosemipresencialcfe.net/
-58.3118212295828,-33.1157170092564,1412562,CETP,IFD DE FRAY BENTOS "DR. GUILLERMO RUGGIA",,RIO NEGRO,FRAY BENTOS,FRAY BENTOS,ZORRILLA DE SAN MARTIN,1182,4562 2513,,http://ifdfraybentos.cfe.edu.uy/
-58.2848406553027,-33.9985660407034,1405559,CETP,IFD DE CARMELO,,COLONIA,CARMELO,CARMELO,URUGUAY,336,4542 2369 / 4874,,http://ifdcarmelo.cfe.edu.uy/
-58.0817900894182,-32.3164173225369,1411569,CETP,IFD DE PAYSANDÚ "ERCILIA GUIDALI DE PISANO",,PAYSANDU,PAYSANDU,PAYSANDU,FLORIDA,1181,4722 9068 / 2733,,http://ifdpaysandu.cfe.edu.uy/
-57.9719934692929,-31.3865683856227,1415573,CETP,IFD DE SALTO "ROSA SILVESTRI",,SALTO,SALTO,SALTO,URUGUAY,329,4733 3490 / 5388,,http://www.dfpd.edu.uy/ifd/salto/index.html
-57.970559695791,-31.3913429055232,1415553,CETP,CERP DEL LITORAL - SALTO,,SALTO,SALTO,SALTO,FLORENCIO SANCHEZ,398,4732 4011,,http://www.dfpd.edu.uy/cerp/cerps/salto/index.html
-57.8533010567098,-34.4399350127743,1405556,CETP,CERP DEL SUROESTE - COLONIA,,COLONIA,COLONIA DEL SACRAMENTO,COLONIA DEL SACRAMENTO,DOMINGO MAGDALENA,160,4522 8655 / 7750,,http://www.cerpsw.org/
-56.8964453005604,-33.5155406675773,1407578,CETP,IFD DE TRINIDAD,,FLORES,TRINIDAD,TRINIDAD,ALFREDO PUIG,520,4364 4210,,http://cfdtrinidadflores.blogspot.com/
-56.7066326143376,-34.3383449699387,1416574,CETP,IFD DE SAN JOSÉ "ELIA CAPUTTI DE CORBACHO",,SAN JOSE,SAN JOSE DE MAYO,SAN JOSE DE MAYO,BATLLE Y ORDOÑEZ,810,4342 3650,,http://ifdsanjose.cfe.edu.uy/
-56.5284250340387,-33.375928669609,1406560,CETP,IFD DE DURAZNO "MAESTRA MARÍA EMILIA CASTELLANOS DE PUCHET",,DURAZNO,DURAZNO,DURAZNO,18 DE JULIO Y LARRAÑAGA,S/N,4362 2508 / 9320,,http://ifddurazno.cfe.edu.uy/
-56.4614268716079,-30.405549769676,1402557,CETP,IFD DE ARTIGAS "MARÍA ORTICOCHEA",,ARTIGAS,ARTIGAS,SORIANO,RIVERA Y TERMINAL LAVALLEJA,S/N,4772 4444,,http://www.dfpd.edu.uy/ifd/artigas
-56.2811568476262,-34.5263346741843,1403558,CETP,IFD DE CANELONES "JUAN AMÓS COMENIO",,CANELONES,CANELONES,CANELONES,TREINTA Y TRES,470,4332 2769 / 3691/ 43320974,,http://www.dfpd.edu.uy/ifd/canelones/index.htm
-56.2203429052394,-34.0940820723433,1408561,CETP,'IFD DE FLORIDA "CLELIA VITALE D''AMICO DE MENDOZA"',,FLORIDA,FLORIDA,FLORIDA,POCHO FERNANDEZ,444,4352 2597 / 6797,,http://ifdflorida.cfe.edu.uy/
-56.211354221,-34.1001572498345,1408551,CETP,CERP DEL CENTRO - FLORIDA,,FLORIDA,FLORIDA,FLORIDA,INDEPENDENCIA Y 24 DE ABRIL,S/N,4352 9674,,http://www.cerpcentro.org/
-56.1921921392127,-34.8924234655088,1401580,CETP,INET - INSTITUTO NORMAL DE ENSEÑANZA TÉCNICA,,MONTEVIDEO,MONTEVIDEO,AGUADA,GUATEMALA,1172,2929 0904,,http://www.dfpd.edu.uy/inet/index.html
-56.1886658636792,-34.8937706073457,1401582,CETP,IPA - INSTITUTO DE PROFESORES "ARTIGAS",,MONTEVIDEO,MONTEVIDEO,AGUADA,AV. LIBERTADOR,2025,2924 4334,,http://www.dfpd.edu.uy/inet/index.html
-56.1802917751784,-34.9071681879768,1401579,CETP,IINN - INSTITUTOS NORMALES "MARÍA STAGNERO DE MUNAR" Y "JOAQUÍN R. SÁNCHEZ",,MONTEVIDEO,MONTEVIDEO,CORDON,SORIANO,1658,2412 0872,,http://iinn.cfe.edu.uy/
-56.1691606215623,-34.8994730195225,1401581,CETP,IFES - INSTITUTO DE FORMACIÓN EN EDUCACIÓN SOCIAL,,MONTEVIDEO,MONTEVIDEO,TRES CRUCES,18  DE JULIO,2128,24003391,,http://ifes.cfe.edu.uy/
-55.9808862574412,-34.8206459677043,1403563,CETP,IFD DE LA COSTA,,CANELONES,CIUDAD DE LA COSTA,SOLYMAR,CALLE OMBUES,S/N,2696 7822 / 7592,,http://ifdlacosta.cfe.edu.uy/
-55.9555052055837,-34.7141713305133,1403568,CETP,IFD DE PANDO,,CANELONES,PANDO,PANDO,ITURRIA,1245,2292 2945 / 1183,,http://ifdpando.blogspot.com/
-55.9579940004915,-34.2959005281605,1403575,CETP,IFD DE SAN RAMÓN "JUAN PEDRO TAPIÉ",,CANELONES,SAN RAMON,SAN RAMON,BATLLE Y ORDOÑEZ,1628,4312 2302,,http://ifdsanramon.cfe.edu.uy/
