Tipo_de_Educacion,Turno,Comparte,Categoria,PNOfrece2,UNOfrece,Tiene comedor,Tiene copa de leche,Tiene equipo multidisciplinario,,Profesores especiales,Horario,Tiene maestro de apoyo,Tiene maestro de apoyo Ceibal,Tiene maestro comunitario,Maestro mAs maestro,Maestro de trayectorias protegida,RUEE,rule1,Nombre
ESCUELA COMÚN,TARDE,269,URBANA COMUN,4 AÑOS,6,,,,,,,,,,,,1101002,2010001,REPUBLICA ARGENTINA
ESCUELA COMÚN,TARDE,121,PRACTICA - HABILITADA PRACTICA,4 AÑOS,6,,,,,,,,,,,,1101003,2010002,FRANCIA
ESCUELA COMÚN,COMPLETO,,TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101004,2010003,GRAL. JOSE GERVASIO ARTIGAS
ESCUELA COMÚN,DOBLE,,URBANA COMUN,4 AÑOS,6,,,,,,,,,,,,1101005,2010004,JOSE PEDRO VARELA
ESCUELA COMÚN,DOBLE,,URBANA COMUN,4 AÑOS,6,,,,,,,,,,,,1101006,2010005,ESTADOS UNIDOS DE AMERICA
ESCUELA COMÚN,MAÑANA,37,APRENDER,4 AÑOS,6,,,,,,,,,,,,1101007,2010006,ROSA MARINO
ESCUELA COMÚN,DOBLE,,APRENDER,3 AÑOS,6,,,,,,,,,,,,1101008,2010007,REPUBLICA DE HAITI
ESCUELA COMÚN,COMPLETO,,TIEMPO COMPLETO,1,6,,,,,,,,,,,,1101009,2010008,DR. AURELIANO RODRIGUEZ LARRETA
ESCUELA COMÚN,DOBLE,,PRACTICA - HABILITADA PRACTICA,4 AÑOS,6,,,,,,,,,,,,1101010,2010009,REPUBLICA DE EL SALVADOR
ESCUELA COMÚN,EXTENDIDO,,TIEMPO EXTENDIDO,4 AÑOS,6,,,,,,,,,,,,1101011,2010010,ABRAHAM LINCOLN
ESCUELA COMÚN,MAÑANA,48,PRACTICA - HABILITADA PRACTICA,4 AÑOS,6,,,,,,,,,,,,1101013,2010011,JOAQUIN MESTRE
ESCUELA COMÚN,MAÑANA,27,PRACTICA - HABILITADA PRACTICA,4 AÑOS,6,,,,,,,,,,,,1101014,2010012,JOSE DE SAN MARTIN
ESCUELA COMÚN,COMPLETO,,TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101016,2010014,SUECIA
ESCUELA COMÚN,EXTENDIDO,,TIEMPO EXTENDIDO,4 AÑOS,6,,,,,,,,,,,,1101017,2010015,BRASIL
ESCUELA COMÚN,MAÑANA,76,URBANA COMUN,4 AÑOS,6,,,,,,,,,,,,1101019,2010016,GRUPO ESCOLAR FELIPE SANGUINETTI
ESCUELA COMÚN,COMPLETO,,TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101020,2010017,GRUPO ESCOLAR FELIPE SANGUINETTI
ESCUELA COMÚN,EXTENDIDO,,TIEMPO EXTENDIDO,4 AÑOS,6,,,,,,,,,,,,1101021,2010018,ALEMANIA
ESCUELA COMÚN,DOBLE,,URBANA COMUN,4 AÑOS,6,,,,,,,,,,,,1101023,2010019,TOMAS CLARAMUNT
ESCUELA COMÚN,COMPLETO,,TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1101024,2010020,JOAQUIN SUAREZ
ESCUELA COMÚN,TARDE,26,PRACTICA - HABILITADA PRACTICA,4 AÑOS,6,,,,,,,,,,,,1101025,2010021,RUY BARBOSA
ESCUELA COMÚN,MAÑANA,25,PRACTICA - HABILITADA PRACTICA,4 AÑOS,6,,,,,,,,,,,,1101026,2010021,PAISES BAJOS
ESCUELA COMÚN,TARDE,14,PRACTICA - HABILITADA PRACTICA,4 AÑOS,6,,,,,,,,,,,,1101027,2010012,DR. EDUARDO ACEVEDO
ESCUELA COMÚN,TARDE,80,PRACTICA - HABILITADA PRACTICA,4 AÑOS,6,,,,,,,,,,,,1101028,2010022,REPUBLICA DE PANAMA
ESCUELA COMÚN,TARDE,30,URBANA COMUN,4 AÑOS,6,,,,,,,,,,,,1101029,2010023,CHECOSLOVAQUIA
ESCUELA COMÚN,MAÑANA,29,URBANA COMUN,4 AÑOS,6,,,,,,,,,,,,1101030,2010023,ANTONIO DIONISIO LUSSICH
ESCUELA COMÚN,COMPLETO,,TIEMPO COMPLETO,1,6,,,,,,,,,,,,1101031,2010024,GRUPO ESCOLAR JACOBO VARELA
