Ruee_Calculado,Rule_Calculado,GRADO_ANNO,BACHIILER_DIVNOMBRE,Turno,PLAN,MODALIDAD,NOMBRELIC,DescPlan,RUEE_RAD
1220071,0,2,,INTERMEDIO EXTENDIDO ,ADECUACIÓN PLAN 09 CECAP,SEMESTRAL,CECAP BARROS BLANCOS,https://www.dges.edu.uy/propuesta-educativa/planes,
1220070,0,2,,INTERMEDIO EXTENDIDO ,ADECUACIÓN PLAN 09 CECAP,SEMESTRAL,CECAP LAS PIEDRAS,https://www.dges.edu.uy/propuesta-educativa/planes,
1219010,3190096,1,,NOCTURNO ,PLAN 2013 EXPERIMENTAL EXTRA EDAD,ANUAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1219010,3190096,1,,NOCTURNO ,PLAN 2013 EXPERIMENTAL EXTRA EDAD,SEMESTRAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1219010,3190096,1,,NOCTURNO ,PLAN 2013 EXPERIMENTAL EXTRA EDAD,ANUAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1219010,3190096,1,,NOCTURNO ,PLAN 2013 EXPERIMENTAL EXTRA EDAD,SEMESTRAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1219010,3190096,1,,NOCTURNO ,PLAN 2013 EXPERIMENTAL EXTRA EDAD,ANUAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1219010,3190096,1,,NOCTURNO ,PLAN 2013 EXPERIMENTAL EXTRA EDAD,SEMESTRAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1219010,3190096,1,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219010,3190096,1,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219010,3190096,1,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219010,3190096,1,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219010,3190096,1,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219010,3190096,1,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 4,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219008,3190084,7,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 3,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219008,3190084,7,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 3,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219008,3190084,7,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 3,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219006,3190083,7,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219006,3190083,7,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219006,3190083,7,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219006,3190083,7,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,TREINTA Y TRES Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
