Descripcion_Nivel,Descripcion_Tipo_Curso,Plan_Orientac,Cod_Corientac,Descripcion_Orientac,Tray,Año,Mod,Sem,Grupo,TurnoDescripcion,Sectores de Estudio,Modalidad,Telefono,Mail,DescTCurso,DescOrient,Ruee
EDUCACION MEDIA SUPERIOR,EDUCACIÓN MEDIA PROFESIONAL,2004,65H,OP. DE PROCESOS INDUSTRIALES,,,,,,DOBLE TURNO,,,098287174,,https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,,1301002
EDUCACION MEDIA SUPERIOR,EDUCACIÓN MEDIA PROFESIONAL,2004,65H,OP. DE PROCESOS INDUSTRIALES,,,,,,VESPERTINO,,,098287174,,https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,,1301002
EDUCACION MEDIA SUPERIOR,EDUCACIÓN MEDIA PROFESIONAL,2004,65H,OP. DE PROCESOS INDUSTRIALES,,,,,,VESPERTINO,,,098287174,,https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,,1301002
EDUCACION MEDIA SUPERIOR,EDUCACIÓN MEDIA PROFESIONAL,2004,65H,OP. DE PROCESOS INDUSTRIALES,,,,,,MATUTINO,,,098287174,,https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,,1301002
EDUCACION MEDIA SUPERIOR,EDUCACIÓN MEDIA PROFESIONAL,2004,65H,OP. DE PROCESOS INDUSTRIALES,,,,,,MATUTINO,,,098287174,,https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,,1301002
EDUCACION MEDIA SUPERIOR,EDUCACIÓN MEDIA PROFESIONAL,2004,65H,OP. DE PROCESOS INDUSTRIALES,,,,,,NOCTURNO,,,098287174,,https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,,1301002
EDUCACION MEDIA SUPERIOR,EDUCACIÓN MEDIA PROFESIONAL,2004,65H,OP. DE PROCESOS INDUSTRIALES,,,,,,SIN TURNO,,,098287174,,https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,,1301002
EDUCACION MEDIA SUPERIOR,EDUCACIÓN MEDIA PROFESIONAL,2004,65H,OP. DE PROCESOS INDUSTRIALES,,,,,,VESPERTINO,,,098287174,,https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,,1301002
EDUCACION MEDIA SUPERIOR,EDUCACIÓN MEDIA PROFESIONAL,2004,65H,OP. DE PROCESOS INDUSTRIALES,,,,,,MATUTINO,,,098287174,,https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,,1301002
EDUCACION MEDIA SUPERIOR,EDUCACIÓN MEDIA PROFESIONAL,2004,65H,OP. DE PROCESOS INDUSTRIALES,,,,,,VESPERTINO,,,098287174,,https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,,1301002
