CARRERA,DURACIÓN,PLAN DE ESTUDIOS VIGENTE,SERVICIO UNIVERSITARIO,SERVICIO UNIVERSITARIO DE REFERENCIA,ENLACE A INFORMACIÓN INSTITUCIONAL,Nivel,Titulación
INGENIERO AGRÓNOMO,5 AÑOS,2020,MONTEVIDEO_FACULTAD DE AGRONOMÍA,,https://portal.fagro.edu.uy/ensenanza/unidad-de-ensenanza/ingenieria-agronomica/,Grado,Ingeniero/a
ARQUITECTURA,5 AÑOS,2015,MONTEVIDEO_FACULTAD DE ARQUITECTURA,,http://www.fadu.edu.uy/arquitectura/,Grado,Arquitecto/a
LICENCIATURA EN DISEÑO DE COMUNICACION VISUAL,4 AÑOS,2007,MONTEVIDEO_FACULTAD DE ARQUITECTURA,,http://www.fadu.edu.uy/ldcv/,Grado,Licenciado/a
LICENCIATURA EN DISEÑO INDUSTRIAL,4 AÑOS,2013,MONTEVIDEO_FACULTAD DE ARQUITECTURA,,http://www.fadu.edu.uy/ingreso/diseno-industrial/,Grado,Licenciado/a
LICENCIATURA EN ASTRONOMIA,4 AÑOS,2016,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a
LICENCIATURA EN BIOQUIMICA,4 AÑOS,2017,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a
LICENCIATURA EN BIOTECNOLOGÍA,4 AÑOS,2024,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a
LICENCIATURA EN CIENCIAS BIOLÓGICAS,4 AÑOS,2017,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a
LICENCIATURA EN CIENCIAS DE LA ATMÓSFERA,4 AÑOS,2007,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a
LICENCIATURA EN FÍSICA,4 AÑOS,2019,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a
LICENCIATURA EN FÍSICA MEDICA,4 AÑOS,2011,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a
LICENCIATURA EN GEOGRAFÍA,4 AÑOS,2018,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a
LICENCIATURA EN GEOLOGÍA,4 AÑOS,2018,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a
LICENCIATURA EN MATEMÁTICA,4 AÑOS,2014,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado,Grado,Licenciado/a
AGRIMENSURA,5 AÑOS,1997,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a Agrimensor/a
INGENIERÍA EN SISTEMAS DE COMUNICACIÓN,5 AÑOS,2018,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a
INGENIERÍA CIVIL,5 AÑOS,2021,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a
INGENIERÍA DE PRODUCCIÓN,5 AÑOS,2010,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a
INGENIERÍA ELÉCTRICA,5 AÑOS,2023,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a
INGENIERÍA EN COMPUTACIÓN,5 AÑOS,1997,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a
INGENIERÍA FÍSICO-MATEMÁTICA,5 AÑOS,2017,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a
INGENIERÍA INDUSTRIAL MECÁNICA,5 AÑOS,1997,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a
INGENIERÍA NAVAL,5 AÑOS,1997,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a
INGENIERÍA QUÍMICA,5 AÑOS,2022,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a
INGENIERÍA DE ALIMENTOS,5 AÑOS,2003,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Ingeniero/a
LICENCIATURA EN INGENIERÍA BIOLÓGICA,5 AÑOS,2013,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Licenciado/a
LICENCIATURA EN COMPUTACIÓN,4 AÑOS,2012,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/carrera/grado/lic-en-computacion,Grado,Licenciado/a
LICENCIATURA EN CIENCIAS DE LA ATMOSFERA,4 AÑOS,2007,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/ensenanza/oferta-educativa,Grado,Licenciado/a
TECNÓLOGO INDUSTRIAL MECÁNICO,3 AÑOS,2016,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/carrera/grado/tecnólogo-mecanico,Grado,Tecnólogo/a
TECNÓLOGO INFORMÁTICO,3 AÑOS,2007,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/tecnoinf/index.html,Grado,Tecnólogo/a
TECNÓLOGO EN CARTOGRAFÍA,2 AÑOS,2011,MONTEVIDEO_FACULTAD DE INGENIERÍA,,https://www.fing.edu.uy/es/carrera/grado/tecnólogo-cartografía,Grado,Tecnólogo/a
INGENIERÍA QUÍMICA,5 AÑOS,2022,MONTEVIDEO_FACULTAD DE QUÍMICA,,https://www.fing.edu.uy/carrera/grado/ingeniería-química,Grado,Ingeniero/a
QUÍMICO,5 AÑOS,2015,MONTEVIDEO_FACULTAD DE QUÍMICA,,https://www.fq.edu.uy//es/node/620,Grado,Quimico/a
QUÍMICO FARMACÉUTICO,5 AÑOS,2015,MONTEVIDEO_FACULTAD DE QUÍMICA,,https://www.fq.edu.uy//es/node/619,Grado,Quimico/a Farmacéutico/a
INGENIERÍA DE ALIMENTOS,5 AÑOS,2003,MONTEVIDEO_FACULTAD DE QUÍMICA,,https://www.fq.edu.uy//es/node/19,Grado,Ingeniero/a
BIOQUÍMICO CLÍNICO,5 AÑOS,2015,MONTEVIDEO_FACULTAD DE QUÍMICA,,https://www.fq.edu.uy//es/node/618,Grado,Biquímico/a Clínico/a
LICENCIATURA EN QUÍMICA,4 AÑOS,2003,MONTEVIDEO_FACULTAD DE QUÍMICA,,https://www.fq.edu.uy/?q=es/node/17,Grado,Licenciado/a
LICENCIATURA EN TECNOLOGÍAS DE LA QUÍMICA,4 AÑOS,2022,MONTEVIDEO_FACULTAD DE QUÍMICA,,https://www.fq.edu.uy/?q=es/node/1853,Grado,Licenciado/a
TÉCNICO BACHILLER EN CIENCIAS QUÍMICAS,2 AÑOS Y MEDIO,2015,MONTEVIDEO_FACULTAD DE QUÍMICA,,https://www.fq.edu.uy//es/node/621,Grado,Técnico/a
TECNÓLOGO QUÍMICO,3 AÑOS,2010,MONTEVIDEO_FACULTAD DE QUÍMICA,,https://www.fq.edu.uy//es/node/22,Grado,Tecnólogo/a
AUXILIAR DE FARMACIA HOSPITALARIA,2 AÑOS,-,MONTEVIDEO_FACULTAD DE QUÍMICA,,https://www.fq.edu.uy//es/node/26,Preuniversitario,Auxiliar de Farmacia Hospitalaria
MÉDICO/A VETERINARIO/A,5 AÑOS,2021,MONTEVIDEO_FACULTAD DE VETERINARIA,,https://www.fvet.edu.uy/ensenanza/grado/medico-veterinario-a/,Grado,Doctor/a
