Ruee Calculado,Rule Calculado,GRADO/AÑO,BACHIILER_DIVNOMBRE,Turno,PLAN,MODALIDAD,NOMBRELIC,DescPlan,RUEE_RAD
1202001,3020080,4,,NOCTURNO,1994,SEMESTRAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-1994,
1202001,3020080,5,HUMANÍSTICO,NOCTURNO,1994,SEMESTRAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-1994,
1202001,3020080,5,BIOLÓGICO,NOCTURNO,1994,SEMESTRAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-1994,
1202001,3020080,5,CIENTÍFICO,NOCTURNO,1994,SEMESTRAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-1994,
1202001,3020080,6,DERECHO,NOCTURNO,1994,SEMESTRAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-1994,
1202001,3020080,6,MEDICINA,NOCTURNO,1994,SEMESTRAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-1994,
1202001,3020080,6,INGENIERÍA,NOCTURNO,1994,SEMESTRAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-1994,
1202001,3020080,4,,MATUTINO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202001,3020080,5,DIV.HUMANÍSTICA,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202001,3020080,5,DIV.BIOLÓGICA,MATUTINO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202001,3020080,5,DIV.CIENTÍFICA,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202001,3020080,5,DIV.ARTE Y EXPRESIÓN,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202001,3020080,6,SOCIAL HUMANÍSTICO,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202001,3020080,6,SOCIAL ECONOMÍA,MATUTINO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202001,3020080,6,CIENCIAS BIOLÓGICAS,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202001,3020080,6,FÍSICO MATEMÁTICO,MATUTINO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202001,3020080,6,MATEMÁTICA Y DISEÑO,MATUTINO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202001,3020080,6,ARTE Y EXPRESION,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS DEPTAL.,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202002,3020085,1,,MATUTINO EXTENDIDO,2006,ANUAL,BELLA UNION Nº 1,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202002,3020085,1,,INTERMEDIO EXTENDIDO,2006,ANUAL,BELLA UNION Nº 1,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202002,3020085,2,,MATUTINO EXTENDIDO,2006,ANUAL,BELLA UNION Nº 1,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202002,3020085,2,,INTERMEDIO EXTENDIDO,2006,ANUAL,BELLA UNION Nº 1,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202002,3020085,3,,MATUTINO EXTENDIDO,2006,ANUAL,BELLA UNION Nº 1,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202002,3020085,3,,INTERMEDIO EXTENDIDO,2006,ANUAL,BELLA UNION Nº 1,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202003,3020090,1,,INTERMEDIO EXTENDIDO,2006,ANUAL,TOMAS GOMENSORO,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202003,3020090,2,,INTERMEDIO EXTENDIDO,2006,ANUAL,TOMAS GOMENSORO,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202003,3020090,3,,INTERMEDIO EXTENDIDO,2006,ANUAL,TOMAS GOMENSORO,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202003,3020090,4,,MATUTINO EXTENDIDO,2006,ANUAL,TOMAS GOMENSORO,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202003,3020090,5,DIV.HUMANÍSTICA,MATUTINO EXTENDIDO,2006,ANUAL,TOMAS GOMENSORO,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202003,3020090,5,DIV.BIOLÓGICA,MATUTINO EXTENDIDO,2006,ANUAL,TOMAS GOMENSORO,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202003,3020090,6,SOCIAL HUMANÍSTICO,MATUTINO EXTENDIDO,2006,ANUAL,TOMAS GOMENSORO,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202003,3020090,6,CIENCIAS BIOLÓGICAS,MATUTINO EXTENDIDO,2006,ANUAL,TOMAS GOMENSORO,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202004,3020081,4,,NOCTURNO,1994,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-1994,
1202004,3020081,4,,NOCTURNO,1994,SEMESTRAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-1994,
1202004,3020081,1,,NOCTURNO,1996,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-1996-ee,
1202004,3020081,2,,NOCTURNO,1996,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-1996-ee,
1202004,3020081,3,,NOCTURNO,1996,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-1996-ee,
1202004,3020081,1,,MATUTINO EXTENDIDO,2006,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202004,3020081,1,,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202004,3020081,2,,MATUTINO EXTENDIDO,2006,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202004,3020081,2,,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202004,3020081,3,,MATUTINO EXTENDIDO,2006,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202004,3020081,3,,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202004,3020081,4,,MATUTINO EXTENDIDO,2006,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202004,3020081,4,,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202004,3020081,5,DIV.HUMANÍSTICA,MATUTINO EXTENDIDO,2006,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
1202004,3020081,5,DIV.HUMANÍSTICA,INTERMEDIO EXTENDIDO,2006,ANUAL,ARTIGAS Nº 2,https://www.ces.edu.uy/index.php/plan-2006-bachillerato,
