X,Y,RUEE,SUBSISTEMA,NOMBRE,DEPTO,DEPTO_TEX,LOCALIDAD,PARAJE,CALLE,N_PUERTA,TELEFONO,RULE_EST
-56.838024110966515,-34.503825908836404,1116002,CEIP,N° 2,16,SAN JOSE,RINCON DEL PINO,RINCON DEL PINO,RUTA 1 KM. 76,S/N,43462020,2160002
-57.046997393238556,-34.35579259025296,1116048,CEIP,N° 48,16,SAN JOSE,ECILDA PAULLIER,ECILDA PAULLIER,GRAL.RIVERA Y DEGIOVANANGELO,S/N,43492069,2160048
-56.76206532035598,-34.516894633340591,1116022,CEIP,N° 22,16,SAN JOSE,VILLA MARIA,VILLA MARIA,RUTA 3 - KM. 71.500,S/N,43422326,2160022
-56.459607709775476,-34.422270077351961,1116058,CEIP,N° 58,16,SAN JOSE,CAPURRO,CAPURRO,RUTA 78 KM 18,S/N,43389373,2160058
-57.146245338447294,-34.441487421533893,1116112,CEIP,N° 112,16,SAN JOSE,BOCA DEL CUFRE,BOCA DEL CUFRE,CANDELARIA Y JOSE DI MAGGIO,S/N,43409161,2160110
-56.805523021231529,-34.320315322151643,1116057,CEIP,N° 57,16,SAN JOSE,JUAN SOLER,JUAN SOLER,RUTA 11 - KM. 39,S/N,43402236,2160057
-56.66534043006061,-34.339998806529984,1116009,CEIP,N° 9,16,SAN JOSE,RAIGON,RAIGON,RUTA 11 KM. 55.500,S/N,43421500,2160009
-56.797901823111417,-34.523906863495831,1116080,CEIP,N° 80  CLEMENTE ESTABLE,16,SAN JOSE,RAFAEL PERAZA,RAFAEL PERAZA,RUTA 1 KM 72,S/N,43462055,2160080
-56.439368439496043,-34.441708623065132,1116063,CEIP,N° 63,16,SAN JOSE,18 DE JULIO (PUEBLO NUEVO),18 DE JULIO (PUEBLO NUEVO),RUTA 11 - KM. 79.500,S/N,43389267,2160063
-56.952538111668602,-34.146826341696602,1116060,CEIP,N° 60  MARTIN ROGELIO CAMY,16,SAN JOSE,MAL ABRIGO,MAL ABRIGO,RUTA 23 - KM. 123.500,S/N,43402429,2160060
-56.877594530723236,-34.22978705929394,1116056,CEIP,N° 56  CLAUDIA TAPIA DE ARBOLEYA,16,SAN JOSE,GONZALEZ,GONZALEZ,RUTA 23 - KM. 112,S/N,43402596,2160056
-56.698115775007636,-34.586777618996862,1116026,CEIP,N° 26,16,SAN JOSE,PUNTAS DE VALDEZ,PUNTAS DE VALDEZ,RUTA 1 - KM. 61,S/N,43459857,2160026
-56.423002171222763,-34.42105349571117,1116059,CEIP,N° 59,16,SAN JOSE,ITUZAINGO,ITUZAINGO,P.MORE Y BLANCA MORE DE MELO,S/N,43322545,2160059
-56.541450387222596,-34.380958019196612,1116047,CEIP,N° 47  BRIG. GRAL. FRUCTUOSO RIVERA,16,SAN JOSE,RODRIGUEZ,RODRIGUEZ,JOSEFINA GONZALEZ,945,43482014,2160047
-56.541432249082618,-34.381578814687614,1116109,CEIP,N° 109,16,SAN JOSE,RODRIGUEZ,RODRIGUEZ,JOSEFINA GONZALEZ,S/N,43482055,2160107
-56.362657275211021,-34.76315088633477,1116115,CEIP,N° 115,16,SAN JOSE,CIUDAD DEL PLATA,DELTA EL TIGRE,MANILA Y AVDA. MALECON,S/N,23473468,2160112
-56.442948461835741,-34.736389436555314,1116066,CEIP,N° 66,16,SAN JOSE,CIUDAD DEL PLATA,STA. VICTORIA,RUTA 1 - KM. 32,S/N,23479735,2160066
-56.449376739595095,-34.746159000011843,1116101,CEIP,N° 101  DR. CARLOS NUÑEZ,16,SAN JOSE,CIUDAD DEL PLATA,PLAYA PASCUAL,SANTOS GARRIDO,S/N,23479654,2160100
-56.368381378125456,-34.775029845034787,1116088,CEIP,N° 88  DOMINGO F. SARMIENTO,16,SAN JOSE,CIUDAD DEL PLATA,VILLA RIVES,RUTA 1 - KM. 24 665,S/N,23472098,2160088
-56.364927571675047,-34.765480168431623,1116096,CEIP,N° 96,16,SAN JOSE,CIUDAD DEL PLATA,DELTA DEL TIGRE,AVENIDA DE LAS PERLAS M41 - S 14 A 17,S/N,23473022,2160095
-56.386654524388909,-34.767173850997494,1116108,CEIP,N° 108,16,SAN JOSE,CIUDAD DEL PLATA,SAN FERNANDO,RIVERA ESQUINA RÍO NEGRO,S/N,43474312,2160106
-56.421380575432401,-34.750918038213037,1116117,CEIP,N° 117  JAPON,16,SAN JOSE,CIUDAD DEL PLATA,PLAYA PENINO,"RUTA 1 KM 29,500",S/N,23475240,2160114
-56.442782796862147,-34.73652560147687,1116111,CEIP,N° 111,16,SAN JOSE,CIUDAD DEL PLATA,RINCON DE LA BOLSA,RUTA 1 - KM. 32. SOBRE RUTA 1 VIEJA,S/N,23478727,2160109
-56.457841330468895,-34.741774288392094,1116118,CEIP,N° 118,16,SAN JOSE,CIUDAD DEL PLATA,VILLA OLIMPICA,NASAZZI Y RIVER PLATE,S/N,23478199,2160115
-56.617971212788383,-34.630830908313001,1116049,CEIP,N° 49  FRANCIA,16,SAN JOSE,LIBERTAD,LIBERTAD,SAN JOSE,912,43452256,2160049
-56.615195543956183,-34.638243763902615,1116086,CEIP,N° 86,16,SAN JOSE,LIBERTAD,I.N.V.E.,SARANDI Y 19 DE ABRIL,S/N,43452902,2160086
-56.617193845728899,-34.640240307849545,1116107,CEIP,N° 107,16,SAN JOSE,LIBERTAD,LIBERTAD,WILSON FERREIRA ALDUNATE,1272,43452766,2160105
-56.617188560234659,-34.633712630125721,1116113,CEIP,N° 113,16,SAN JOSE,LIBERTAD,LIBERTAD,DETOMASI,1048,43455214,2160111
-56.612553286226316,-34.630382529444418,1116099,CEIP,N° 99,16,SAN JOSE,LIBERTAD,PROGRESO,COLON,1099,43453191,2160098
-56.71039985806275,-34.34620112178515,1116068,CEIP,N° 68  GUYUNUSA,16,SAN JOSE,SAN JOSE DE MAYO,PLAZA SARANDI,AVDA. BRASIL,590,43422063,2160068
-56.711885099584592,-34.344610650591051,1116055,CEIP,N° 55  DR. JOSE ENRIQUE RODO,16,SAN JOSE,SAN JOSE DE MAYO,PLAZA 4 DE OCTUBRE,25 DE MAYO,275,43422824,2160055
-56.700374063723949,-34.338335302311279,1116100,CEIP,N° 100  MANUEL GARCIA LOPEZ,16,SAN JOSE,SAN JOSE DE MAYO,ROBERTO MARIANO,DURAZNO,1090,43423202,2160099
-56.721845715262035,-34.337410390682642,1116106,CEIP,N° 106  ENRIQUE RODRIGUEZ FABREGAT,16,SAN JOSE,SAN JOSE DE MAYO,GRANERO OFICIAL,GRAL. RIVERA,737,43422307,2160104
-56.726735013953068,-34.341676542109894,1116083,CEIP,N° 83  DANIEL FERNANDEZ CRESPO,16,SAN JOSE,SAN JOSE DE MAYO,DOTTA - INVE M2,W.FERREIRA Y ROCHA,S/N,43424517,2160083
-56.716756211686501,-34.328249337197661,1116103,CEIP,N° 103  BRIG. GENERAL MANUEL ORIBE,16,SAN JOSE,SAN JOSE DE MAYO,LAS PALMAS,LEANDRO GOMEZ E INSTRUCCIONES,S/N,43424711,2160102
-56.713878413919275,-34.33450973770335,1116095,CEIP,N° 95  CAPITAN MANUEL ANTONIO ARTIGAS,16,SAN JOSE,SAN JOSE DE MAYO,SAN JOSE DE MAYO,ANSINA,577,43422213,2160094
-56.715006389226524,-34.338693016680232,1116046,CEIP,N° 46  DR. EVARISTO G. CIGANDA,16,SAN JOSE,SAN JOSE DE MAYO,SAN JOSE DE MAYO,ARTIGAS,625,43423754,2160046
-56.713917033717422,-34.340351432799515,1116045,CEIP,N° 45  JOSE PEDRO VARELA,16,SAN JOSE,SAN JOSE DE MAYO,SAN JOSE DE MAYO,ASAMBLEA Y ARTIGAS,456,43423635,2160045
