Tipo de educaciOn,Turno,¿Comparte?,CategorIa,Primer nivel de educaciOn que ofrece,Ultimo nivel de educaciOn que ofrece,Tiene comedor,Tiene copa de leche,Tiene equipo multidisciplinario,Con clases especiales,Horario,Tiene maestro de apoyo,Tiene maestro de apoyo Ceibal,Tiene maestro comunitario,Maestro mAs maestro,Maestro de trayectorias protegidas,Profesores especiales,Ruee Calculado,Rule Calculado
ESCUELA COMUN,MATUTINO (4 HORAS),SI,HABILITADA DE PRACTICA,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,2,NO,2,0,2,1107001,2070001
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,3 AÑOS ,6° AÑO ,SI,SI,NO,SI,,0,0,NO,2,0,3,1107002,2070002
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,3,NO,0,0,2,1107003,2070003
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,TIEMPO EXTENDIDO,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,1,NO,1,0,4,1107004,2070004
ESCUELA COMUN,RURAL (5 HORAS),NO,INTERNADO RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1107005,2070005
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1107006,2070006
ESCUELA COMUN,MATUTINO (4 HORAS),SI,DE PRACTICA,3 AÑOS ,6° AÑO ,SI,SI,SI,SI,,0,2,NO,0,0,5,1102001,2020001
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,TIEMPO EXTENDIDO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,2,1103001,2030001
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,3,1101002,2010001
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,DE PRACTICA,5 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,1,1101003,2010002
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1101004,2010003
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,0,NO,0,0,3,1101005,2010004
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,6,1101006,2010005
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,1,NO,0,0,3,1101007,2010006
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,1,NO,0,0,7,1101008,2010007
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,3 AÑOS ,6° AÑO ,SI,SI,SI,NO,,1,1,SI,0,0,4,1101009,2010008
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,3 AÑOS ,6° AÑO ,NO,SI,NO,SI,,2,0,NO,0,0,5,1101010,2010009
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,T.EXTENDIDO H. DE PRACTICA,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,2,NO,0,0,13,1101011,2010010
ESCUELA COMUN,MATUTINO (4 HORAS),SI,HABILITADA DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,SI,NO,,0,0,NO,0,0,5,1101013,2010011
ESCUELA COMUN,MATUTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,1,NO,0,0,1,1101014,2010012
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1101016,2010014
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,T.EXTENDIDO H. DE PRACTICA,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,0,0,NO,0,0,12,1101017,2010015
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,1,NO,0,0,5,1101019,2010016
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),SI,DE TIEMPO COMPLETO,5 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,6,1101020,2010017
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,T.EXTENDIDO H. DE PRACTICA,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,11,1101021,2010018
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,2,NO,0,0,3,1101023,2010019
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1101024,2010020
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,1,NO,0,0,3,1101025,2010021
ESCUELA COMUN,MATUTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,2,NO,0,0,3,1101026,2010021
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,1,1101027,2010012
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,1,NO,0,0,3,1101028,2010022
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,0,NO,0,0,1,1101029,2010023
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,0,NO,0,0,1,1101030,2010023
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,1,0,NO,0,0,4,1101031,2010024
ESCUELA COMUN,MATUTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,5,1101032,2010025
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,4,1101033,2010026
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,SI,NO,NO,NO,,0,0,SI,1,0,1,1101034,2010027
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,SI,NO,,0,3,NO,0,0,6,1101035,2010028
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,3 AÑOS ,6° AÑO ,NO,NO,NO,SI,,1,0,NO,0,0,1,1101036,2010029
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,0,NO,0,0,1,1101037,2010006
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,1,1101038,2010030
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,2,1101039,2010031
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,3,1101040,2010032
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,5 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,6,1101041,2010033
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,3,1101042,2010034
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,1,NO,0,0,4,1101044,2010035
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,1,NO,0,0,5,1101045,2010036
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,1° AÑO ,6° AÑO ,SI,SI,SI,NO,,0,0,NO,0,0,3,1101047,2010037
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,7,1101048,2010011
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,3 AÑOS ,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,2,1101049,2010038
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,1° AÑO ,6° AÑO ,SI,NO,NO,SI,,1,0,SI,0,0,4,1101050,2010039
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,1,1101051,2010040
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,5 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,2,1101052,2010041
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,1,0,NO,0,0,4,1101053,2010042
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,SI,NO,NO,SI,,1,0,SI,0,0,3,1101054,2010043
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,0,SI,0,0,2,1101055,2010044
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,4,NO,0,0,4,1101056,2010045
ESCUELA COMUN,MATUTINO (4 HORAS),SI,HABILITADA DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,3,1101057,2010046
