RUEE,Rule,GRADO/AÑO,BACHIILER_DIVNOMBRE,Turno,PLAN,MODALIDAD
1202001,3020080,4, ,MATUTINO EXTENDIDO,2006,ANUAL
1202001,3020080,4, ,NOCTURNO,1994,SEMESTRAL
1202001,3020080,5,DIV.BIOLOGICA,NOCTURNO,1994,SEMESTRAL
1202001,3020080,5,DIV.CIENTIFICA,NOCTURNO,1994,SEMESTRAL
1202001,3020080,5,DIV.ARTE Y EXPRESION,INTERMEDIO EXTENDIDO,2006,ANUAL
1202001,3020080,5,DIV.BIOLOGICA,MATUTINO EXTENDIDO,2006,ANUAL
1202001,3020080,5,DIV.CIENTIFICA,INTERMEDIO EXTENDIDO,2006,ANUAL
1202001,3020080,5,DIV.HUMANISTICA,INTERMEDIO EXTENDIDO,2006,ANUAL
1202001,3020080,5,DIV.HUMANISTICA,NOCTURNO,1994,SEMESTRAL
1202001,3020080,6,ARTE Y EXPRESION,INTERMEDIO EXTENDIDO,2006,ANUAL
1202001,3020080,6,CIENCIAS AGRARIAS,INTERMEDIO EXTENDIDO,2006,ANUAL
1202001,3020080,6,CIENCIAS BIOLOGICAS,INTERMEDIO EXTENDIDO,2006,ANUAL
1202001,3020080,6,SOCIAL HUMANISTICO,NOCTURNO,1994,SEMESTRAL
1202001,3020080,6,FISICO MATEMATICO,MATUTINO EXTENDIDO,2006,ANUAL
1202001,3020080,6,MATEMATICA Y DISEÑO,MATUTINO EXTENDIDO,2006,ANUAL
1202001,3020080,6,CIENCIAS BIOLOGICAS,NOCTURNO,1994,SEMESTRAL
1202001,3020080,6,SOCIAL ECONOMIA,MATUTINO EXTENDIDO,2006,ANUAL
1202001,3020080,6,SOCIAL HUMANISTICO,INTERMEDIO EXTENDIDO,2006,ANUAL
1202002,3020085,1, ,MATUTINO EXTENDIDO,2006,ANUAL
1202002,3020085,1, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202002,3020085,2, ,MATUTINO EXTENDIDO,2006,ANUAL
1202002,3020085,2, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202002,3020085,3, ,MATUTINO EXTENDIDO,2006,ANUAL
1202002,3020085,3, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202003,3020090,4, ,MATUTINO EXTENDIDO,2006,ANUAL
1202003,3020090,5,DIV.BIOLOGICA,MATUTINO EXTENDIDO,2006,ANUAL
1202003,3020090,5,DIV.HUMANISTICA,MATUTINO EXTENDIDO,2006,ANUAL
1202003,3020090,6,CIENCIAS BIOLOGICAS,MATUTINO EXTENDIDO,2006,ANUAL
1202003,3020090,6,SOCIAL HUMANISTICO,MATUTINO EXTENDIDO,2006,ANUAL
1202003,3020090,1, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202003,3020090,2, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202003,3020090,3, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202004,3020081,4, ,MATUTINO EXTENDIDO,2006,ANUAL
1202004,3020081,4, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202004,3020081,4, ,NOCTURNO,1994,ANUAL
1202004,3020081,4, ,NOCTURNO,1994,SEMESTRAL
1202004,3020081,5,DIV.BIOLOGICA,MATUTINO EXTENDIDO,2006,ANUAL
1202004,3020081,5,DIV.HUMANISTICA,MATUTINO EXTENDIDO,2006,ANUAL
1202004,3020081,6,CIENCIAS BIOLOGICAS,INTERMEDIO EXTENDIDO,2006,ANUAL
1202004,3020081,6,SOCIAL HUMANISTICO,INTERMEDIO EXTENDIDO,2006,ANUAL
1202004,3020081,1, ,MATUTINO EXTENDIDO,2006,ANUAL
1202004,3020081,1, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202004,3020081,1, ,INTERMEDIO EXTENDIDO,0,ANUAL/SEMESTRAL
1202004,3020081,1, ,NOCTURNO,0,ANUAL
1202004,3020081,2, ,MATUTINO EXTENDIDO,2006,ANUAL
1202004,3020081,2, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202004,3020081,2, ,INTERMEDIO EXTENDIDO,0,ANUAL/SEMESTRAL
1202004,3020081,2, ,NOCTURNO,0,ANUAL
1202004,3020081,3, ,MATUTINO EXTENDIDO,2006,ANUAL
1202004,3020081,3, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202004,3020081,3, ,NOCTURNO,0,ANUAL
1202006,3020084,4, ,INTERMEDIO EXTENDIDO,2006,ANUAL
1202006,3020084,5,DIV.BIOLOGICA,INTERMEDIO EXTENDIDO,2006,ANUAL
1202006,3020084,5,DIV.HUMANISTICA,INTERMEDIO EXTENDIDO,2006,ANUAL
1202006,3020084,6,CIENCIAS BIOLOGICAS,INTERMEDIO EXTENDIDO,2006,ANUAL
1202006,3020084,6,SOCIAL HUMANISTICO,INTERMEDIO EXTENDIDO,2006,ANUAL
1202006,3020084,1, ,MATUTINO EXTENDIDO,0,ANUAL
1202006,3020084,2, ,MATUTINO EXTENDIDO,0,ANUAL
