Nivel,Tipo de Curso,Plan,Cód.,Descripción,Tray.,Año,Mód.,Sem.,Grupo,Turno,Cód.,Descripción,Ruee Calculado,Rule calculado
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1A,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1B,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1C,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1D,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1E,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 2,0, ,2A,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 2,0, ,2B,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 2,0, ,2C,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 2,0, ,2D,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 3,0, ,3A,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
