Ruee Calculado,Rule Calculado,MODALIDAD,TITULACION,TIPO_FORMACION,CARRERA_ESPECIALIDAD,TURNO
1408100,5080123,SEMIPRESENCIAL,GRADO,PROFESORADO,ASTRONOMIA,UNICO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,CIENCIAS BIOLOGICAS,MATUTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,CIENCIAS BIOLOGICAS,INTERMEDIO/VESPERTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,CIENCIAS GEOGRAFICAS,MATUTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,CIENCIAS GEOGRAFICAS,INTERMEDIO/VESPERTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,COMUNICACION VISUAL,MATUTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,COMUNICACION VISUAL,INTERMEDIO/VESPERTINO
1408100,5080123,SEMIPRESENCIAL,GRADO,PROFESORADO,COMUNICACION VISUAL,UNICO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,DERECHO,MATUTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,DERECHO,INTERMEDIO/VESPERTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,EDUCACION MUSICAL,INTERMEDIO/VESPERTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,EDUCACION MUSICAL,MATUTINO
1408100,5080123,SEMIPRESENCIAL,GRADO,PROFESORADO,EDUCACION MUSICAL,UNICO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,ESPAÑOL,MATUTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,ESPAÑOL,INTERMEDIO/VESPERTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,FILOSOFIA,MATUTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,FILOSOFIA,UNICO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,FILOSOFIA,INTERMEDIO/VESPERTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,FISICA,MATUTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,FISICA,INTERMEDIO/VESPERTINO
1408100,5080123,,GRADO,PROFESORADO,FRANCES,
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,HISTORIA,MATUTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,HISTORIA,INTERMEDIO/VESPERTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,INGLES (CFE),MATUTINO
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,INGLES (CFE),INTERMEDIO/VESPERTINO
1408100,5080123,,GRADO,PROFESORADO,ITALIANO,
1408100,5080123,PRESENCIAL,GRADO,PROFESORADO,LITERATURA,MATUTINO
