lat,long,NOMBRE
-34.81807532520947,-56.213736656326155,MONTEVIDEO
-30.617329597985059,-56.95883847946876,ARTIGAS
-34.540965835935864,-55.931321808152333,CANELONES
-34.129305650006188,-57.660227898665696,COLONIA
-33.022913931720481,-56.029289604113345,DURAZNO
-33.77614050802547,-55.860711568698832,FLORIDA
-33.923303921478066,-54.977916128441784,LAVALLEJA
-32.066329177396362,-57.336394545849593,PAYSANDU
-32.767403730410848,-57.430754571735427,RIO NEGRO
-31.481811787687676,-55.241947180900425,RIVERA
-33.970168925276298,-54.022667304262562,ROCHA
-31.327129105977029,-57.017169026778589,SALTO
-34.308663633842087,-56.725905303341264,SAN JOSE
-33.51052741507138,-57.749674469876133,SORIANO
-33.068181611462428,-54.286551446834089,TREINTA Y TRES
-31.00129433164145,-55.942335021787983,LIMITE CONTESTADO
-32.108690963748614,-55.771297960987667,TACUAREMBO
-33.573568574557839,-56.894052434775247,FLORES
-34.560043215250559,-54.863563576670501,MALDONADO
-32.44110798628769,-54.352328179718995,CERRO LARGO
