lat,long,localidad,departamen
-30.407727807783633,-56.47272258578311,ARTIGAS,ARTIGAS
-30.716037616029539,-57.325823342487432,BALTASAR BRUM,ARTIGAS
-30.247513470480097,-57.582638673426295,BARRIO LAS PIEDRAS,ARTIGAS
-30.259827498199758,-57.599015077103459,BELLA UNION,ARTIGAS
-30.298382017200513,-56.970069503998303,BERNABE RIVERA,ARTIGAS
-30.386621014528739,-57.614170019452196,CAINSA,ARTIGAS
-30.431189909450165,-57.733370051264295,CAINZA CAMPO 3,ARTIGAS
-30.330297343605451,-57.619993909071702,CALNU,ARTIGAS
-30.541548316001961,-56.865047967050508,CAMAÑO,ARTIGAS
-30.841236419485618,-56.232297855013066,CATALAN GRANDE,ARTIGAS
-30.783792714288353,-56.255156470445279,CATALAN VOLCAN,ARTIGAS
-30.10697326121668,-56.925449144188761,CERRITO,ARTIGAS
-30.426934146223473,-56.465854114886731,CERRO EJIDO,ARTIGAS
-30.426217586465651,-56.472484373801173,CERRO SAN EUGENIO,ARTIGAS
-30.427267086992845,-56.475894823467613,CERRO SIGNORELLI,ARTIGAS
-30.429696284403803,-56.509515276384114,CHIFLERO,ARTIGAS
-30.330936011732071,-57.599340661017067,COLONIA ESPAÑA,ARTIGAS
-30.447347307495836,-57.429763738712097,COLONIA ESTRELLA,ARTIGAS
-30.616181024059163,-56.973647291312524,COLONIA JOSE ARTIGAS,ARTIGAS
-30.583599589080102,-57.678707973588985,COLONIA PALMA,ARTIGAS
-30.467777790703735,-56.425081972032707,COLONIA PINTADO,ARTIGAS
-30.475329311817344,-57.620791963554097,COLONIA VIÑAR,ARTIGAS
-30.290818213286165,-57.60048130676423,CORONADO,ARTIGAS
-30.23413116730292,-57.568284980534386,CUAREIM,ARTIGAS
-30.611855861463528,-56.904473942464335,CUARO,ARTIGAS
-30.755415125892654,-57.054574409063008,DIEGO LAMAS,ARTIGAS
-30.483486158524865,-56.415620665892007,ESTIBA,ARTIGAS
-30.716370636406577,-56.602308839141713,FAGUNDEZ,ARTIGAS
-30.211656883562181,-57.605048830234715,FRANQUIA,ARTIGAS
-30.506131223873911,-56.411742505884348,GUYUBIRA,ARTIGAS
-30.43292323976311,-56.785444161895711,JAVIER DE VIANA,ARTIGAS
-30.846277920100452,-56.336433021719856,LA BOLSA,ARTIGAS
-30.425275337735172,-57.634234843090681,LENGUAZO,ARTIGAS
-31.084016857792552,-56.000940148001717,MASOLLER,ARTIGAS
-30.875990876590809,-56.399372072813392,MENESES,ARTIGAS
-30.374368746226203,-57.663445118083985,MONES QUINTELA,ARTIGAS
-30.630459556513838,-56.7696365209191,PAGUERO,ARTIGAS
-30.712459499316584,-57.540691773877512,PALMA SOLA,ARTIGAS
-30.666859555589479,-57.788265427241321,PAREDON,ARTIGAS
-30.787670398896282,-56.782078624411675,PASO CAMPAMENTO,ARTIGAS
-30.293143193820395,-57.308142829092901,PASO DE LA CRUZ,ARTIGAS
-30.129890680326245,-57.086712578479705,PASO DE LEON,ARTIGAS
-30.15421661247078,-56.786820636564748,PASO DE RAMOS,ARTIGAS
-30.476417767943229,-57.12549689224258,PASO FARIAS,ARTIGAS
-30.909880567761238,-57.190820029382685,PATITAS,ARTIGAS
-30.52165731106809,-56.393618919061311,PIEDRA PINTADA,ARTIGAS
-30.434101717300113,-56.459759858699904,PINTADITO,ARTIGAS
-30.442759554795863,-56.431853250820694,PINTADO,ARTIGAS
-30.514189246240701,-56.431870753126148,PINTADO GRANDE,ARTIGAS
-30.272740480691244,-57.571434000584823,PORT. DE HIERRO Y CAMPODONICO,ARTIGAS
-30.702716696672848,-56.163953654916874,RINCON DE PACHECO,ARTIGAS
